id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names
1197306,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",2025-03-26,6.295,312,946.7352,/xUkUZ8eOnrOnnJAfusZUqKYZiDu.jpg,"Action, Crime, Thriller"
324544,In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",2025-02-27,6.276,230,697.5707,/iHf6bXPghWB6gT8kFkL1zo00x6X.jpg,"Fantasy, Adventure, Action"
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",2025-03-31,6.137,627,664.0547,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,"Family, Comedy, Adventure, Fantasy"
1045938,G20,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.",2025-04-09,6.575,293,502.3395,/wv6oWAleCJZUk5htrGg413t3GCy.jpg,"Action, Mystery, Drama"
1195506,Novocaine,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",2025-03-12,6.848,491,432.9618,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,"Action, Comedy, Thriller"
1293286,Gunslingers,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.",2025-04-11,6.944,27,422.4856,/O7REXWPANWXvX2jhQydHjAq2DV.jpg,"Western, Action"
822119,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",2025-02-12,6.157,1471,398.2534,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"Action, Thriller, Science Fiction"
1244944,The Woman in the Yard,"In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.",2025-03-27,6.138,65,248.8458,/n0WS2TsNcS6dtaZKzxipyO7LuCJ.jpg,"Horror, Mystery"
615,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,2004-02-25,7.513,4768,222.7523,/4i76mQwY9rkBdARgZF2Dgh4Dekm.jpg,Drama
1312833,A Knight's War,"A fearless knight braves a deadly realm to save the Chosen One’s soul. Facing witches, demons, and brutal foes, he discovers her return could ignite chaos and doom humanity.",2025-02-07,5.0,12,213.4788,/janjdSMrTRGtPrI1p9uOX66jv7x.jpg,"Horror, Action, Fantasy"
1353117,Home Sweet Home: Rebirth,"When a city is overrun with a demonically-possessed crowd, a cop must find the source of evil to save his family.",2025-03-20,6.736,36,206.5634,/9rCBCm9cyI4JfLEhx3EncyncMR3.jpg,"Horror, Fantasy, Thriller, Mystery, Action"
1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024-11-21,7.083,2231,195.1622,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,"Animation, Adventure, Family, Comedy"
1125899,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",2025-02-19,6.567,218,185.0382,/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg,"Action, Thriller"
762509,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2024-12-18,7.4,1979,174.8534,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,"Adventure, Family, Animation"
939243,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2024-12-19,7.73,2433,165.029,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,"Action, Science Fiction, Comedy, Family, Adventure, Fantasy"
1229730,Carjackers,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?",2025-03-27,6.175,143,157.4706,/wbkPMTz2vVai7Ujyp0ag7AM9SrO.jpg,"Action, Adventure"
1233413,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",2025-04-16,7.457,92,157.4069,/fWPgbnt2LSqkQ6cdQc0SZN9CpLm.jpg,"Drama, Horror, Thriller"
696506,Mickey 17,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",2025-02-28,6.907,1590,153.2843,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,"Science Fiction, Comedy, Adventure"
1373723,The Codes of War,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.",2025-03-20,6.263,57,153.209,/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg,"Action, War"
1195585,The Hard Hit,"An Interpol agent hunting the head of a global crime syndicate tracks his target to Las Vegas, but when the criminal organization kills his wife and daughter, he goes above the law to get his revenge.",2023-10-20,7.0,16,146.368,/whkFbOZTamHeugEG95jvQehSzAH.jpg,"Action, Thriller, Crime"
1252309,Ask Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",2024-11-29,5.962,146,134.1214,/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg,"Romance, Drama"
1403735,Laila,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",2025-02-14,0.0,0,143.5284,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,"Comedy, Romance"
1195430,Deva,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",2025-01-31,6.036,42,133.5805,/qxtXzAlEPxmjHILU8k8wduvBSdo.jpg,"Action, Thriller, Mystery, Crime"
1101401,Sugar Baby,"An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home.",2024-10-15,6.563,8,130.2535,/z7NyxmdJ1ypn3Y6BVizjGODuBdO.jpg,"Thriller, Comedy"
1208808,Night Shift,"A young nurse with a domestic abuse past starts working the night shift at a small hospital, where, during the night, the ghost of a nurse materializes.",2024-10-31,6.405,110,126.8004,/iSSx9Bys64vlOkvkyKXtp19P7Re.jpg,Horror
1126166,Flight Risk,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",2025-01-22,6.104,642,123.0954,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,"Action, Thriller"
1165067,Cosmic Chaos,"Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.",2023-08-03,6.0,46,113.3676,/mClzWv7gBqgXfjZXp49Enyoex1v.jpg,"Thriller, Science Fiction"
1087891,The Amateur,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",2025-04-09,6.621,132,109.6762,/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg,"Thriller, Action"
